shortcut,name,explanation,options
RPNS,% of samples with same RPN peptides,"This option filters peptides of your reference protein. With this option you select the minimal number of events, in which a peptide has to be measured over all conditions. It is in % of the number of conditions. Rational values will be rounded to integers.",
ARempai,Average Replicates,"This parameter controls, if emPAIs between replicate samples should be averaged. The information for replicate samples is taken from the experimental setup of your dataset. This is either written within the imported lists or can be set creating an experimental design file within cRacker.",
AR,Average Replicates,"This parameter controls, if peptide intensities between replicate samples should be averaged to a protein intensity. The information for replicate samples is taken from the experimental setup of your dataset. This is either written within the imported lists or can be set creating an experimental design file within cRacker.",
AM,Averaging Method,"Decide if mean or median will be used for general averaging procedures during the calculations. Sum is simply summing up all normalized and shaped Intensities  of protein, measured in a sample.",
CM,color mode,Select the color mode for plot output.,
CorLOG,correct log2 ratios,"Mean normalizes log2 ratios to expected ratio. The expected ratio is taken from ""expected ratio labeled:unlabeled"".",
CA,correlation analysis,Choose the type of correlation for creating a cross correlation list.,
ExCR,Exclude Contaminants,"This option removes specific accessions matching the regular expression (strings that defines contaminants) in the ""import-config.csv"" file.",
EoRP,Exclusion of Redundant Peptides,"Exclude with this Option redundant Peptides from Analysis. If there would be no Peptides left, representing a certain Protein, redundant Peptides will be used for calculation. A list of affected proteins is given out!
This process is  time intensiv (15 to 30 minutes).
You can import your own database. This should be a list coming from the fasta file of your used proteom database (use function read.fasta() from bio3d package). This file should be saved as an object called database in a .Rdata image and put into the folder database of your cRacker destination.
For exclusion of redundant peptides based on maxquant results, check additionally ""Use MaxQuant Exclusion (very fast procedure).""",
ERLU,expected ratio labeled:unlabeled,"Defines the expected ratio of log2 transformed ratios. This parameter is used as the set point for correcting log2 transformed ratios.""",
EN,Experiment Name,"Defines a string, used for naming the folder containing cRacker output. The date is added to the folder-name automatically. If there is a existing destination folder with the same name, it will be overwritten.",
ED,Experimental Design,Sets path to an additional experimental design (ED) file. By pressing the –create” button an tab delimited template called –experimental-design-cRacker.tab” is created in the data folder (table \ref{ED}). All columns except ”Name” can be changed. The file needs to be saved in the same format. cRacker will only use –experimental-design-cRacker.tab” if the path is set. The path needs to be set new for each new calculation. The meaning and function of the columns are explained in the following.,
